"package","since","license","version"
"flowCore",19,"Artistic-2.0","3.22"
"cytolib",8.5,"AGPL-3.0-only","3.22"
"flowWorkspace",14.5,"AGPL-3.0-only","3.22"
"ncdfFlow",14.5,"AGPL-3.0-only","3.22"
"flowViz",19,"Artistic-2.0","3.22"
"FlowSOM",11,"GPL (>= 2)","3.22"
"ggcyto",10,"file LICENSE","3.22"
"openCyto",12.5,"AGPL-3.0-only","3.22"
"quantiseqr",4.5,"GPL (>= 3)","3.22"
"flowStats",17,"Artistic-2.0","3.22"
"CytoML",9.5,"AGPL-3.0-only","3.22"
"CATALYST",9,"GPL (>= 2)","3.22"
"flowAI",10,"GPL (>= 2)","3.22"
"diffcyt",8,"MIT + file LICENSE","3.22"
"flowDensity",11.5,"Artistic-2.0","3.22"
"flowMeans",16,"Artistic-2.0","3.22"
"PeacoQC",5.5,"GPL (>= 3)","3.22"
"flowFP",16.5,"Artistic-2.0","3.22"
"flowClean",11.5,"Artistic-2.0","3.22"
"flowPeaks",13.5,"Artistic-1.0","3.22"
"COMPASS",12,"Artistic-2.0","3.22"
"SamSPECTRAL",16,"GPL (>= 2)","3.22"
"flowVS",11,"Artistic-2.0","3.22"
"cydar",9,"GPL (>= 3)","3.22"
"flowMerge",16.5,"Artistic-2.0","3.22"
"flowTrans",16,"Artistic-2.0","3.22"
"distinct",6,"GPL (>= 3)","3.22"
"flowCut",5.5,"Artistic-2.0","3.22"
"flowMatch",12,"Artistic-2.0","3.22"
"flowBeads",12.5,"Artistic-2.0","3.22"
"flowTime",9,"Artistic-2.0","3.22"
"sccomp",4,"GPL (>= 3)","3.22"
"flowCHIC",11.5,"GPL (>= 2)","3.22"
"flowSpecs",6.5,"MIT + file LICENSE","3.22"
"DepecheR",7,"MIT + file LICENSE","3.22"
"treekoR",4.5,"GPL (>= 3)","3.22"
"flowBin",12,"Artistic-2.0","3.22"
"MetaCyto",8.5,"GPL (>= 2)","3.22"
"immunoClust",11,"Artistic-2.0","3.22"
"scDataviz",5.5,"GPL (>= 3)","3.22"
"cytoMEM",4,"GPL (>= 3)","3.22"
"flowPloidy",9.5,"GPL (>= 3)","3.22"
"plotGrouper",7.5,"GPL (>= 3)","3.22"
"CytoDx",8,"GPL (>= 2)","3.22"
"Sconify",8,"Artistic-2.0","3.22"
"flowPlots",15,"Artistic-2.0","3.22"
"GateFinder",8,"Artistic-2.0","3.22"
"flowGate",3,"MIT + file LICENSE","3.22"
"flowGraph",4.5,"Artistic-2.0","3.22"
"infinityFlow",5.5,"GPL (>= 3)","3.22"
"cyanoFilter",4.5,"MIT + file LICENSE","3.22"
"optimalFlow",6,"Artistic-2.0","3.22"
"CytoGLMM",4.5,"LGPL-3","3.22"
"scifer",3.5,"MIT + file LICENSE","3.22"
"cytoKernel",4.5,"GPL (>= 3)","3.22"
"CytoPipeline",3,"GPL (>= 3)","3.22"
"censcyt",4.5,"MIT + file LICENSE","3.22"
"flowCyBar",12,"GPL (>= 2)","3.22"
"reconsi",6,"GPL (>= 2)","3.22"
"MACSQuantifyR",6.5,"Artistic-2.0","3.22"
"CytoMDS",2,"GPL (>= 3)","3.22"
"CytoPipelineGUI",2.5,"GPL (>= 3)","3.22"
"MAPFX",2,"GPL (>= 2)","3.22"
"spillR",2,"LGPL-3","3.22"
"tidyFlowCore",1.5,"MIT + file LICENSE","3.22"
"CyTOFpower",4.5,"LGPL-3","3.22"
"tidytof",1.5,"MIT + file LICENSE","3.22"
"SuperCellCyto",0,"GPL (>= 3)","3.22"
